"Guid","IsActive","Pricebook2Id","UnitPrice","UseStandardPrice"
08eee5d8-5888-4063-80f9-6b062c6984ef,true,b6ca1d30-0755-4403-9a24-34a950b46977,900.0,false
098ac946-18a7-425e-a919-6e1da5eebe72,true,b6ca1d30-0755-4403-9a24-34a950b46977,799.0,false
0a481a3b-8cd2-4b72-8e06-380023a42cf0,true,b6ca1d30-0755-4403-9a24-34a950b46977,750.0,false
13945f59-68aa-48a9-9e82-34b39f3cf525,true,b6ca1d30-0755-4403-9a24-34a950b46977,12.74,false
13a7d3f2-f487-44e6-ab73-024ffc8ebbdb,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
15bf75bf-cb31-42d9-a1c2-86bc2d11c5e6,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
18fb5b3e-3c3c-4971-a6ff-ddac6d900af6,true,b6ca1d30-0755-4403-9a24-34a950b46977,225.0,false
1aaa46f0-ecc8-4948-83fa-1fd17a4b4a1d,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
1c4a9acf-4377-4c1c-9f12-920b9bde2a9c,true,b6ca1d30-0755-4403-9a24-34a950b46977,7500.0,false
1d5cf923-d224-4bfb-885e-f5adda29b8b1,true,b6ca1d30-0755-4403-9a24-34a950b46977,14.99,false
22e56937-1cfa-44c4-86b0-64f720293495,true,b6ca1d30-0755-4403-9a24-34a950b46977,0.0,false
24420d96-e131-4bb6-8fd5-e98105323747,true,b6ca1d30-0755-4403-9a24-34a950b46977,14.99,false
251f3f27-019a-4320-b1e8-763bbc147775,true,b6ca1d30-0755-4403-9a24-34a950b46977,14.99,false
2586a7e7-bd32-479e-a434-7cdabce3f708,true,b6ca1d30-0755-4403-9a24-34a950b46977,1100.0,false
29452c9b-08ef-4065-8d62-add2ba9b9ca5,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
29a05482-f138-4a65-a1b8-b5faa1238d42,true,b6ca1d30-0755-4403-9a24-34a950b46977,150.0,false
2c80f244-04b1-4a67-9b83-3dbf20e7a451,true,b6ca1d30-0755-4403-9a24-34a950b46977,103.21,false
2c89292a-3636-4001-be50-7526868106df,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
313a58b7-2cb3-4959-a79d-4444ed0b2c58,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
3bdec60b-981b-4058-9612-2ccdaf732c82,true,b6ca1d30-0755-4403-9a24-34a950b46977,2000.0,false
43f544a5-23ac-4007-9c2a-014144244fdd,true,b6ca1d30-0755-4403-9a24-34a950b46977,0.0,false
4a323017-7fc7-49fb-9bf8-dfe0d44a707f,true,b6ca1d30-0755-4403-9a24-34a950b46977,25000.0,false
4e0dbb7c-74c8-4b14-ac24-21b099977a89,true,b6ca1d30-0755-4403-9a24-34a950b46977,300.0,false
501936d6-ed21-4127-8568-9aadd2535619,true,b6ca1d30-0755-4403-9a24-34a950b46977,5000.0,false
50dd5536-d8f7-47f9-a6d2-af1b19cd95cd,true,b6ca1d30-0755-4403-9a24-34a950b46977,12.74,false
5a5b5405-4c6f-4275-9f82-5016dc19956b,true,b6ca1d30-0755-4403-9a24-34a950b46977,14.99,false
5cc041ff-7ca9-40dc-a05f-08b8a4e49641,true,b6ca1d30-0755-4403-9a24-34a950b46977,3189.0,false
5e840204-03cc-44d9-8808-402aa2956691,true,b6ca1d30-0755-4403-9a24-34a950b46977,39.35,false
60e4d264-b7d0-4f30-9a63-177647b78c30,true,b6ca1d30-0755-4403-9a24-34a950b46977,580.0,false
63c3b173-90ce-477c-8875-e6fde4d5beff,true,b6ca1d30-0755-4403-9a24-34a950b46977,819.0,false
653a922f-6d5d-446f-b92d-1cbed8995050,true,b6ca1d30-0755-4403-9a24-34a950b46977,400.0,false
66b65dfd-dac0-4797-853c-0b08854b6316,true,b6ca1d30-0755-4403-9a24-34a950b46977,33.45,false
6b4b5a87-eac1-4448-b949-78b36460d9bd,true,b6ca1d30-0755-4403-9a24-34a950b46977,354.99,false
6da3b439-0b6d-480f-b56d-e6a4b4693bfa,true,b6ca1d30-0755-4403-9a24-34a950b46977,249.0,false
7087dbdb-31cf-4113-be32-018b8540111c,true,b6ca1d30-0755-4403-9a24-34a950b46977,359.99,false
70db841a-e257-472f-9a83-3157857ce871,true,b6ca1d30-0755-4403-9a24-34a950b46977,14.99,false
77745805-e35e-4928-bf06-bad07119bab2,true,b6ca1d30-0755-4403-9a24-34a950b46977,50.0,false
785afcbd-98ca-49de-96b4-39cdef645de9,true,b6ca1d30-0755-4403-9a24-34a950b46977,800.0,false
7b144329-758a-4ab1-9410-ac764007875b,true,b6ca1d30-0755-4403-9a24-34a950b46977,875.0,false
7c91c430-918f-47be-9671-4fbb1b805ede,true,b6ca1d30-0755-4403-9a24-34a950b46977,14.99,false
7f655e61-698a-4b86-9e17-fbf3b3af2a19,true,b6ca1d30-0755-4403-9a24-34a950b46977,800.0,false
