"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedConfigurationAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
3984836d-da05-46c0-8ef8-0f23dbaf4df6,Threshold_Type__c,Static Value,equals,7b19b162-66b3-4f68-804b-b75e25268f7d,"#N/A","#N/A","#N/A","#N/A",Discount
3b2b2061-2665-4852-ba8d-5db0c6af7914,Product__c,Field Value,equals,8a0413b8-199b-4e71-b927-b69f3bae8054,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
3e65e97b-31d5-4844-8b72-d42634d4ffa9,Upper_Bound_Percent__c,Field Value,less than,7b19b162-66b3-4f68-804b-b75e25268f7d,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
3f4bf4f5-711a-4732-8c17-2d42de6fc108,Upper_Bound_Percent__c,Field Value,less than,4ea71b55-f114-460a-8cdf-0e1bb85cc56d,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
453717e3-5246-45fa-81b4-36a2ac81df13,Product__c,Field Value,equals,239fbb26-3d47-47df-ae3e-8a35fb72c3de,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
456ad283-1c70-4a32-aead-e09ff1b4711e,Role__c,Field Value,equals,3a9c38d3-40de-4353-8c10-db08a6209359,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
45eb0f7f-86b0-443c-b61c-197bf2b0c0d3,Resource_Location__c,Field Value,equals,7733b2f9-0bdb-4afc-82d8-56714238ea70,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
474a8fcc-acb3-4b98-8a1d-b95a5e9b466e,Approval_Level__c,Static Value,equals,e5b76f2f-3df3-4f83-99ac-9ee4af3def27,"#N/A","#N/A","#N/A","#N/A",1
4ac6f23b-58b9-46db-8d40-2e5924284668,Product__c,Field Value,equals,a696aed6-e3e4-429a-afac-b143a1813790,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
4b8a9c5f-0b08-4ab9-aa3d-4e4b379c7fc7,Engineering_Options__c,Field Value,equals,ad3abb7b-5a10-4548-95d7-eb9f06f3c73e,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
