"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
a6ebe23a-fc49-4c78-a2e5-d624f2a717d1,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",d20a67cf-faba-4b6e-a16d-efc6c9c70b2c,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
af7756b2-1219-407e-9a57-86ca9d2fac2f,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",5ba2a672-be4a-4ef5-b879-1db640d260a7,"#N/A","#N/A",Quote,"#N/A",5
b3f799da-86ac-40df-a6cf-f433eaebdd4a,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",7bd14694-5e98-42fc-b775-f8cfdc04e893,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
b8526588-5b3b-4fda-a807-0bc4618f80d8,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,6571c9dd-e503-4318-aeee-6f877d83e6cb,"#N/A","#N/A",Product Option,"#N/A","#N/A"
be5c7009-4611-482a-84ae-f09f6855f708,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,30170914-a348-447d-8cae-a0e1db3b6992,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
bf3f0228-f993-4425-b075-5bad6b1c844a,SBQQ__Quantity__c,Protected_Devices__c,1.0,e6bd571b-d916-4035-ab14-af552f1957eb,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
c97b0d2c-c325-455d-9717-d99b75c1b2b7,SBQQ__Quantity__c,Protected_Devices__c,1.0,54e618c9-43c7-4387-87b8-e9de856c8b5b,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ca1c1a87-6ef2-490e-9f1d-b45bd38b5e83,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",f2cab785-d115-450f-904b-7d67c5c2ed94,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
cb621c93-6e5f-4dcd-8cda-ceabdbaa7a46,Unit Price,"#N/A","#N/A",9c4c2274-c5ad-422b-b908-48d78fdc6a36,"#N/A","#N/A",Product Option,"#N/A",123
d3858900-61d5-4995-ae9e-7058fff4cf28,Discount (%),"#N/A","#N/A",7cf99625-3d93-4b5a-8295-67c47c913938,"#N/A","#N/A",Quote Line,"#N/A",20
d3d67b9e-c073-47b1-8310-326a6ee52948,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",eef2e489-3a40-48e4-b848-6b6006be2e7a,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
d71683fd-c007-427a-b0b9-652f6f9f8515,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,50fa0548-fe7f-4453-80cf-a70b9048ef23,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
d724a50a-04a8-48e1-90c0-d7763f634e4d,SBQQ__Quantity__c,Protected_Devices__c,1.0,3828bce3-5e4c-4a85-aa6a-27bf5f77fd50,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
da122515-ed2c-40a3-b09f-ad01fb5ef791,Discount (%),"#N/A","#N/A",0dadb62a-4a31-4627-bd1e-8c3a00b1d01c,"#N/A","#N/A",Quote Line,"#N/A",10
dcd2e334-098c-41ff-a4dd-2fcd0af32e3a,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,a40b761d-9098-4e92-80f7-6fa2b3574fa8,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
deb9a9bd-0bd1-41d5-b7e6-7c92887b28d6,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",d49a8469-3791-4a1b-91e0-29fea89b4326,"#N/A","#N/A",Quote,"#N/A",5
dff810b7-180e-4556-9567-5501bd9eb736,Discount (%),"#N/A","#N/A",0e71a3fd-8fe5-417b-8aee-06866bd71171,"#N/A","#N/A",Quote Line,"#N/A",45
e23486eb-763d-4bd7-ad39-6cc34e457ff9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,9baa985c-816a-4ad5-9b02-d848e16a3856,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
e4b3a8af-e9a0-4544-9a7b-c2d6d7b5e8a1,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,272a30aa-517e-4035-bedd-116e03101c0b,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
e5538672-8f4e-4d53-aab0-6ae090e6e81a,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",7bd14694-5e98-42fc-b775-f8cfdc04e893,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
e5c5b935-ad3b-4287-8782-031b1314388b,Discount (%),"#N/A","#N/A",998ec165-54c6-44c9-b8f6-3dd0b35d7fdc,"#N/A","#N/A",Quote Line,"#N/A",25
e62672f4-95a1-4b08-834b-8ed4d394c32b,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,b75a8e03-f069-44e0-98cb-a5ae0bf22c0e,"#N/A","#N/A",Product Option,"#N/A","#N/A"
e6a31e70-8b86-4bc7-8b66-a05f9867a1b2,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",9e283bc0-098f-49b6-9928-2ecddcff715c,"#N/A","#N/A",Quote,"#N/A",3
e82b5722-fe9e-4669-84e0-a40029fda942,Unit Price,"#N/A","#N/A",fdb18fb9-ad29-4677-b7a1-26cf7ce6006b,"#N/A","#N/A",Product Option,"#N/A",123
eb43f68e-4678-4fca-b176-3a4562bf10cd,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,7b19b162-66b3-4f68-804b-b75e25268f7d,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ed14b14b-6df6-42ce-a2d5-9ec23e76a0e0,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,548bac6b-94ce-44b6-9d41-d315ff5a070b,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ee89c813-d1ea-4d45-8e05-a46f024fffd8,Discount (%),"#N/A","#N/A",bb3562b9-aa06-4222-81dc-ddd6df83f9dd,"#N/A","#N/A",Quote Line,"#N/A",45
f1419f8b-6a6b-41b0-91a2-10df16858e56,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",b167377a-64e1-44fa-8bf7-f2a4655ef7a6,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
f31884a1-accc-4e13-b682-f7cd495ea28c,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",cc25352f-d0d4-41a8-b354-948cced05a7b,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
f5f61310-28a5-40d7-a6b7-c3a4211a52b6,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,4f1dc555-7b6f-48be-a15b-1ab9bccc1a42,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
f7ab5eb8-35d8-41f2-ae46-a36917326988,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,aa1ea2d0-ae5e-49a4-bb29-fa84efbee28c,"#N/A","#N/A",Product Option,"#N/A","#N/A"
fe5f3b7a-35c3-4603-9fcc-40419d0ddd03,Discount (%),"#N/A","#N/A",0f643661-0895-4ae1-81f8-c7e3c0c36a39,"#N/A","#N/A",Quote Line,"#N/A",10
ffacedfe-f98f-4ce6-a62e-0729d925a2a0,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",65168c54-ef6c-4eb3-af87-a4fa50d05149,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
