"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
0c73f153-7501-4fcd-905a-b2a59818a779,Top,"#N/A",0.0,false,"#N/A",f6691c39-2345-4d4b-a9b3-e5b5e32bf01c,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,0.0
28a33662-5a57-49f7-a188-41d3ca458b7d,Lines,"#N/A",0.0,false,"#N/A",5b5d7621-6251-4fd8-8e73-eb0920119268,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,0.0
61a63cbc-c262-48c1-b807-605cb97b2796,Lines,"#N/A",0.0,false,"#N/A",b53e5160-48da-4b1e-b192-91659724328a,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,0.0
885c64a5-97af-40a1-8536-4ae0b6402c42,Bottom,"#N/A",0.0,false,"#N/A",3c116abf-8d37-4ad3-a4e2-3871a70e15d9,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,0.0
8b430118-52e8-48e0-b394-20cd2cc78bf3,Top,"#N/A",0.0,false,"#N/A",a8dcbce9-9a46-4c99-85d2-3da0be02fb10,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",91985f59-8861-4903-8a86-d60806ff3d94,0.0
b766213a-6a11-4401-9fcd-dfce85d0d29a,Bottom,"#N/A",0.0,false,"#N/A",3b99efc2-5cc2-40c8-91a9-f7d06f9145a9,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",f2704f1f-9a48-4c4d-a8c8-cb4233909e63,0.0
