"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
18e251a6-6e5e-4c96-a3e1-0c949b0fdca3,"#N/A","#N/A","#N/A",false,86b0ab66-78f9-44ce-a888-3a730b76aebb,Enable,"#N/A","#N/A","#N/A"
3ca34106-1e9c-459d-b49e-d2c3a0e58fcf,"#N/A","#N/A","#N/A",false,86b0ab66-78f9-44ce-a888-3a730b76aebb,Add,"#N/A","#N/A","#N/A"
50db396f-fbb3-40c9-94b8-8ff64b4cf70d,"#N/A","#N/A","#N/A",false,dc3de087-fc1b-4049-adf9-d5282966a202,Add,"#N/A","#N/A","#N/A"
b91d7bf7-ce6e-44ac-a4d4-9c3f0b24903a,"#N/A","#N/A","#N/A",false,86b0ab66-78f9-44ce-a888-3a730b76aebb,Add,"#N/A","#N/A","#N/A"
c99c3220-17e4-4b48-b84c-946633fc9691,"#N/A","#N/A","#N/A",false,86b0ab66-78f9-44ce-a888-3a730b76aebb,Remove,"#N/A","#N/A","#N/A"
d18604f7-20b6-4147-a5ce-a1c748520f6d,"#N/A","#N/A","#N/A",false,dc3de087-fc1b-4049-adf9-d5282966a202,Add,"#N/A","#N/A","#N/A"
dc53d39f-8e56-4dc7-8831-a9ebeaae5d4e,"#N/A","#N/A","#N/A",false,dc3de087-fc1b-4049-adf9-d5282966a202,Enable,"#N/A","#N/A","#N/A"
e66b2a07-04a9-4c86-9b7a-0a4cd5940b55,"#N/A","#N/A","#N/A",false,dc3de087-fc1b-4049-adf9-d5282966a202,Remove,"#N/A","#N/A","#N/A"
