"Guid","Name","SBQQ__Code__c","SBQQ__ConsumptionRateFields__c","SBQQ__ConsumptionScheduleFields__c","SBQQ__GroupFields__c","SBQQ__QuoteFields__c","SBQQ__QuoteLineFields__c","SBQQ__TranspiledCode__c"
27868517-b9c5-4a70-a1be-bdeaf34bce32,QCP3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3c5ff777-368f-49db-956a-323b7e70ac0f,QCP,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
49bf6970-16c4-4732-b67c-86ab16f611af,QCP,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
5b82ed1b-6369-47cd-bbb5-a61229c64cb6,QCP4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
8e8a646b-fddd-40b4-a51f-75864535dea0,QCP2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
9c03a26c-68d3-4272-9823-d8bc753b88e5,QCP4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
bbb6adf8-c7f9-4a6b-af9c-5609a4260a90,QCP3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
ff6b76bc-7ead-405f-82c1-695dc8490abc,QCP2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
